"id","time","event","pos_x","pos_y","page_w","page_h","environment","url","page_name","element_type","element_id","element_tracked_by","user_account","visit_id","page_visit_id","visitor_id","collected"
"1380","0.72","move","489","263","497","1707","class:Logo_parent","localhost:3000","localhost:3000","undefined yet","Logo_parent","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1381","0.00","move","542","237","497","1707","class:Logo_parent","localhost:3000","localhost:3000","undefined yet","Logo_parent","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1382","0.01","move","603","214","497","1707","class:Logo_parent","localhost:3000","localhost:3000","undefined yet","Logo_parent","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1383","0.01","move","658","201","497","1707","class:Logo_parent","localhost:3000","localhost:3000","undefined yet","Logo_parent","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1384","0.01","move","695","198","497","1707","class:Logo_parent","localhost:3000","localhost:3000","undefined yet","Logo_parent","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1385","0.01","move","738","196","497","1707","class:Logo_parent","localhost:3000","localhost:3000","undefined yet","Logo_parent","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1386","0.01","move","772","196","497","1707","class:Logo","localhost:3000","localhost:3000","undefined yet","Logo","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1387","0.27","move","785","196","497","1707","class:Logo","localhost:3000","localhost:3000","undefined yet","Logo","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1388","0.03","move","812","196","497","1707","class:Logo","localhost:3000","localhost:3000","undefined yet","Logo","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1389","0.01","move","826","196","497","1707","class:Logo","localhost:3000","localhost:3000","undefined yet","Logo","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1390","0.03","move","840","197","497","1707","class:Logo","localhost:3000","localhost:3000","undefined yet","Logo","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1391","0.13","click","844","200","497","1707","class:Logo","localhost:3000","localhost:3000","undefined yet","Logo","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540076"
"1392","0.31","move","825","189","497","1707","class:Logo","localhost:3000","localhost:3000","undefined yet","Logo","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540077"
"1393","0.03","move","815","164","497","1707","class:Logo","localhost:3000","localhost:3000","undefined yet","Logo","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540077"
"1394","0.01","move","813","142","497","1707","class:Logo_parent","localhost:3000","localhost:3000","undefined yet","Logo_parent","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540077"
"1395","0.01","move","813","116","497","1707","class:Logo_parent","localhost:3000","localhost:3000","undefined yet","Logo_parent","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540077"
"1396","0.01","move","813","97","497","1707","class:Logo_parent","localhost:3000","localhost:3000","undefined yet","Logo_parent","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540077"
"1397","0.01","move","818","76","497","1707","n","localhost:3000","localhost:3000","undefined yet","undefined","n","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540077"
"1398","0.01","move","822","62","497","1707","class:nav-bead","localhost:3000","localhost:3000","undefined yet","nav-bead","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540077"
"1399","0.03","move","829","49","497","1707","class:nav-bead","localhost:3000","localhost:3000","undefined yet","nav-bead","class","1","EtqVhkGE1cN7RtFVKkE5vXkGWKVcjlxX2zSJklJMZIT5j7RHD81450524940","http://localhost:3000/:/:572354137","rZVB6wcPlWaMpSYdrB4BSEg8lpgjnOGGpRnPpAnSj0Qq12etOm1450524940","1450540077"
